,text,sentiment,labels
0,plus you've added commercials to the experience... tacky.,positive,1
1,"yes, nearly every time i fly vx this “ear worm” won’t go away :)",positive,1
2,"well, i didn't…but now i do! :-d",positive,1
3,"it was amazing, and arrived an hour early. you're too good to me.",positive,1
4,i <3 pretty graphics. so much better than minimal iconography. :d,positive,1
5,this is such a great deal! already thinking about my 2nd trip to  & i haven't even gone on my 1st trip yet! ;p,positive,1
6,i'm flying your   skies again! u take all the  away from travel,positive,1
7,thanks!,positive,1
8,so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america.,positive,1
9,i ❤️ flying  ☺️👍,positive,1
10,you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.,positive,1
11,i love this graphic.,positive,1
12,i love the hipster innovation. you are a feel good brand.,positive,1
13,this is great news!  america could start flights to hawaii by end of year  via,positive,1
14,moodlighting is the only way to fly! best experience ever! cool and calming. 💜✈,positive,1
15,"done and done! best airline around, hands down!",positive,1
16,"view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains!",positive,1
17,i'm  for a good reason: you rock!!,positive,1
18,wow this just blew my mind,positive,1
19,julie andrews all the way though  was very impressive! no to,positive,1
20,you know it. need it on my spotify stat,positive,1
21,i'm lady gaga!!! she is amazing! 😊,positive,1
22,love all three but you really can't beat the classics!,positive,1
23,congrats on winning the  award for best deals from an airline (us),positive,1
24,"not worried, it's been a great ride in a new plane with great crew. all airlines should be like this.",positive,1
25,awesome. i flew yall sat morning. any way we can correct my bill ?,positive,1
26,i've applied more then once to be a member of the  crew team...im 100% interested.   -g,positive,1
27,"- amazing customer  service, again! 💕💕 raeann in sf - she's the best!",positive,1
28,"has getaway deals through may, from $59 one-way. lots of cool cities",positive,1
29,"has getaway deals through may, from $59 one-way. lots of cool cities",positive,1
30,have a great week 🌞✈,positive,1
31,come back to  already. we need you to take us out of this horrible cold.,positive,1
32,"is the best airline i have flown on.easy to change your reservation,helpful representatives & a comfortable flying experience",positive,1
33,and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,positive,1
34,your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,positive,1
35,"love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining",positive,1
36,thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!,positive,1
37,you have the absolute best team and customer service ever.  every time i fly with you i'm delighted.  thank you!,positive,1
38,completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time.,positive,1
39,you rock for making it so i can watch  on my flight!!,positive,1
40,always!!! xoxo,positive,1
41,best customer service rep in the world!  takes the cake!!!,positive,1
42,you have amazing staff & super helpful as i just ran the   they have spoiled me with comfort!!!,positive,1
43,always have it together!!! you're welcome! rt   you're so welcome.,positive,1
44,home to    in'  back to,positive,1
45,thank you for checking in. tickets are purchased and customer is happy ;-),positive,1
46,thank you for the follow,positive,1
47,😎 rt  you’ve met your match. got status on another airline? upgrade (+restr):,positive,1
48,only way to fly!,positive,1
49,you will match my  status? cool!,positive,1
50,thanks!,positive,1
51,i love your guy's song! we're dancing to it for our high school dance revue,positive,1
52,"done! thank you for the quick response, apparently faster than sitting on hold ;)",positive,1
53,cool picture of another virginamerica plane off our wing. what a site!,positive,1
54,keep up the great work :),positive,1
55,my goodness your people  field are amazing under pressure ❤️from texas  in crisis please fly me to ny,positive,1
56,thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now?,positive,1
57,"thanks so much for the awesome support, you guys rock!",positive,1
58,twitter team. you guys killed it for rescheduling me asap. thank you!,positive,1
59,when are you putting some great deals from pdx to las or from las to pdx show me your love!,positive,1
60,wish i can afford to fly with you next friday  going back home.. love everything  about your airline,positive,1
61,like,positive,1
62,you have the best flight attendant ever!!!,positive,1
63,"awesome! rt  watch nominated films at 35,000 feet.",positive,1
64,thanks so much!,positive,1
65,the only airline based in silicon valley!,positive,1
66,very nicely done. 👏,positive,1
67,i’m looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! ;),positive,1
68,hahaha 😂 you guys are amazing. i love you guys!!!💗,positive,1
69,sounds like fun !,positive,1
70,"classiq, luv virgin america. greetingz",positive,1
71,thanks for your great customer service today & for helping me get all my travel sorted out!,positive,1
72,thanks guys! sweet route over the rockies,positive,1
73,love the 90s music blasting at gate in  while waiting for flight to  only if i could get an iced coffee!,positive,1
74,"thank you for the easy itinerary shift for impending weather. quick, painless & free.",positive,1
75,thanks! good times there and back!  the entire flight🍸,positive,1
76,you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. thank you. keep it up!,positive,1
77,thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too,positive,1
78,i see what you did there ;),positive,1
79,your inflight team makes the experience,positive,1
80,cutest salt and pepper shaker ever. just when i think you guys can't get any better you just do!,positive,1
81,fav airline,positive,1
82,we have a hot female pilot! sweet! dca to sfo! :-),positive,1
83,thank you!!,positive,1
84,would love to do more for virgin just like i do for,positive,1
85,loved it. can't wait for monday's return flight... mostly just to watch the inflight safety video again.,positive,1
86,hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,positive,1
87,"i mean. probably inappropriate while on board.. but, it's on!",positive,1
88,happy to spend the day together. let's do this!,positive,1
89,. they were very understanding and helped me out.  thx!,positive,1
90,thank you! i absolutely will 😎,positive,1
91,how about some free drinks on the flight back for the free promo?,positive,1
92,thanks!,positive,1
93,thanks!,positive,1
94,thanks for taking care of  on her flight!!,positive,1
95,thanks for the lovely soft views!   to,positive,1
96,"i adore you, and am so looking forward to my flight to austin in two weeks.",positive,1
97,i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,positive,1
98,"first time flying virgin, went to  .thanks for the smooth ride. easily my new fav airline!",positive,1
99,"just promoting the product is all, had a problem with southwest and recommend noneother than the best!",positive,1
100,"love you guys, but pls get some direct routes las to aus!",positive,1
101,of course! i work for  and i'm obsessed with the entire virgin family!!,positive,1
102,ok! first time flying with you tonight :),positive,1
103,got it squared away. someone picked up as soon as i tweeted. should have tweeted sooner. 😉,positive,1
104,“  of course. have fun celebrating!” thanks! happy chinese new year!,positive,1
105,flight booking problems last second flight for next week from sfo- to san any chance you want to gift me a promo code since i love you guys,positive,1
106,"for my grandma ella's 80th, she would <3 a bday greeting from your flight crew! she was a stewardess for eastern airlines.",positive,1
107,just bought tix for atx - dallas route - thanks for adding that! love yr airline & yr website is best transactional site ever,positive,1
108,gave a credit for my late flight flight yesterday. great service !!!! that's a wow moment! unexpected gesture!,positive,1
109,had me at their safety video . . .   loved my first cross country flight.,positive,1
110,that doesn't look to fat to me! it looks yummy!,positive,1
111,omg omg😍😍 nonstop dallas to austin on virgin✨😱✈️,positive,1
112,your planes are really pretty. just thought u should know that. :),positive,1
113,thank you,positive,1
114,good to be home,positive,1
115,"thanks for that. been needing a way to make those austin trips from dca, and now you've come through!",positive,1
116,this is too cool!  never been on ur planes but now i will!!,positive,1
117,great. well deserved.,positive,1
118,got it. all set - thanks!,positive,1
119,giants and virgin america. a match made in heaven.,positive,1
120,"thank goodness!! also, see you friday, nwk&gt;sf.. boom!",positive,1
121,i luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? i'm not a caffeine drinker,positive,1
122,thank you! see y'all soon! i'm excited to see the expansion of destinations. spread those wings!,positive,1
123,has the most incredible customer service i've ever experienced! so refreshing!,positive,1
124,", am i dreaming? did you really just open up a route between dallas and austin?! and does this mean houston might be next?",positive,1
125,omg finally,positive,1
126,the dal-aus route makes my day!!!!,positive,1
127,awesome deals dal-aus for only $39 each way!,positive,1
128,"love it, taking  on in their backyard! consumers win when biz competes.",positive,1
129,​ is flying from love to austin now. that is most excellent news.,positive,1
130,congrats vx on the new route! ✈️🎉,positive,1
131,i am all about the in flight artisanal cheese and wine pairing.,positive,1
132,that's classy.,positive,1
133,i'm sure a lot of your 747 and 777 jfk-lhr flights go a lot faster than 513mph with a strong tailwind.,positive,1
134,now it's just t-minus 32 minutes until my elevate a silver upgrade window opens .  😃👍,positive,1
135,would have been a rough trip but luckily we were on a  flight.,positive,1
136,"another perfect flight.   how come on your planes,  the sun visors can stay down?  other carriers make you raise them?",positive,1
137,"nice rt  the man of steel might be faster, but we have wifi – just saying.",positive,1
138,i love the dancing little richard. cool beans.,positive,1
139,i don’t use passbook =/ i still love you though <3 :) i’ll just use my email in the future.,positive,1
140,thanks for the free birthday points! y'all are all right with me!,positive,1
141,thanks so much for sharing. just added it to my site,positive,1
142,dad on segway is the best part of this whole infographic!,positive,1
143,are there any plans for a short haul airline in europe? would defiantly fly with you guys :),positive,1
144,wifi and better seating.,positive,1
145,". not only was it great, but you return my calls the day after. couldn't ask for more.",positive,1
146,"so loyal that i'm driving to  from  to fly virgin,  since you cut  flights ;)",positive,1
147,you guys are perfect as always! <3,positive,1
148,thanks! y'all have some of the best customer service left in the industry.,positive,1
149,really wish you'd fly out of   those fares are amazings,positive,1
150,just got on the 1pm in newark home to la. your folks at ewr are incredible,positive,1
151,flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul.,positive,1
152,thanks,positive,1
153,thanks for taking care of that mr!! happy customer.,positive,1
154,thanks -- we filled it out. how's our luck with this? is it common?,positive,1
155,thanks,positive,1
156,thanks. it is on the same ticket.,positive,1
157,follow me please this airline is beautifull ♥,positive,1
158,just wanted to let you know how wonderful rosetta the gate agent was working flight 6457 dan to ase. let her know she wasappreciated,positive,1
159,"- thanks for your help...got me what i need, but its an issue with  . i guess i sit awhile longer.",positive,1
160,"\""airport snow removal method 
keep up the good work folks, this is where cessna's become 747's!",positive,1
161,thank you for that. am i able to claim any interim expenses or is the cost of the stuff up on me?,positive,1
162,i flew united last month and the experience was awesome!,positive,1
163,"441, which also had 1 working wc in coach. good thing this bird landed ahead of schedule. i have to use the wc stat.",positive,1
164,for the record- rozana at newark was lovely and helpful.,positive,1
165,thx for update,positive,1
166,despite my bag not making it to newark good informative email tracking updates help!,positive,1
167,"wow. what a deal. again, 30+ plus seats available. easy change to make a customer happy.",positive,1
168,private jet would have been cool! do does not work. i'll try again,positive,1
169,"thanks, just sent :)",positive,1
170,"has unrivalled access to  with flights to the u.s. from 7 uk airports, with nonstop or one-stop connections year-round",positive,1
171,thnx for the info,positive,1
172,kudos for not cancelled flightling flights from dfw this morning.   united usually first to panic...,positive,1
173,another awesome new plane flight 1584 and extremely nice captain steve connolly.,positive,1
174,every united flight between saipan and guam is an adventure! you never know when  old plane will be operational :),positive,1
175,thank you for the cheese platter and abundance of entertainment options. time just flew by.,positive,1
176,thank you. been trying for two days to set this up.,positive,1
177,definitely a compliment! i really thought my bag was lost after it was sent on to another airport. in the end i am a happy customer,positive,1
178,thanx so much. you followed through and emailed me a $1000 ticket voucher.  they do care,positive,1
179,"this will definitely be a trip to remember ewr-sti second of the season, first on seat 35a because it pays to be loyal!",positive,1
180,you are one great airline ❤️,positive,1
181,“  we'll see what we can do. ^kn” we are running! most of this plane is running. thanks for the help!,positive,1
182,we just flew with united from aus (austin bergstrom) to cancun intl. best flight ever! the 737's are not too big... not too small!,positive,1
183,"flight ua3576, gate b1. and tell ray i somehow made it on to the 736 flight out of iah and didn't have to wait for the 917 one. :)",positive,1
184,but thanks for asking,positive,1
185,you too!,positive,1
186,is my favorite airline.,positive,1
187,man i can't wait to book my ticket now! thanks jp you're a life sabe,positive,1
188,you guys continue to impress me in houston.,positive,1
189,made the upgrade list. will fly 1st tomorrow (for 40 min) for the first time ever! 🙌,positive,1
190,"not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in dia",positive,1
191,thanks for the reminder. it's been a fun ride.,positive,1
192,terrific. many thanks. looking forward to being back on ua tomorrow. had a great flight up to vancouver.,positive,1
193,i appreciate your efforts getting me home!,positive,1
194,"despite shaky connections, looks like i'll get home tonight. great job,  - was touch and go for a while..",positive,1
195,thank you.,positive,1
196,thanks we'll be in touch!,positive,1
197,thanks to karen salisbury at iah for amazing customer service!  found my daughter's bag lost on ua1516.  made her day!,positive,1
198,i left my comment with customer care. thanks for contacting me.,positive,1
199,yes!! thanks so much!!! 💜“  we see you spoke with our reservations team and they've reinstated the flight. thanks. ^ey”,positive,1
200,"captain \""on behalf of the front office, welcome on board.\"".... never heard that before. i laughed...hard.",positive,1
201,these are great fares!!!!!,positive,1
202,awesome i'll book my next christmas vacatinn this december any other ways you want to devalue mileage plus.,positive,1
203,thank u! secured room for the night thx to very helpful customer service rep n. dorns.. i thanked her.. can u 2?,positive,1
204,thank you. i flew into newark from vail/eagle.,positive,1
205,@ denver international airport,positive,1
206,thank you for responding so quickly with a helpful tool!,positive,1
207,thank you. took care of everything and made it right. that's the experience i'm used to. opened the app to find flight changed.,positive,1
208,that's exactly the point. it fits. i'm premier access. boarding group 2. this was a return ticket. i've been doing this for 15 yrs,positive,1
209,thank you!,positive,1
210,my favorite way to travel! thank you!,positive,1
211,thank you,positive,1
212,he has no priority and iove it,positive,1
213,pleased to be a premier platinum,positive,1
214,thank you “  i can certainly take a look. please follow and dm me your confirmation number for assistance. ^jh”,positive,1
215,thanks for listening! i definitely was not the only person in line who thought it was absurd.,positive,1
216,ok. i just submitted. thanks for the opportunity to give feedback.,positive,1
217,big thanks to ms. winston for assisting me over the phone with a baggage claim issue today. she really went the extra mile!,positive,1
218,"i will, as soon as i am done with my article.  thanks!  ~tom",positive,1
219,ok thank again for your help!,positive,1
220,flight 1491...plane from sfo to den is basically on time.,positive,1
221,thanks. just a program comment; the system assigned seats behind each other even though pairs were available. i changed it back.,positive,1
222,please than robin at ewr premiere desk for helping me get on a an earlier flight. she did the work.  huge thanks.,positive,1
223,"that would help! or how about integrate it into the app so i can just \""activate\"" it and surf...",positive,1
224,thank you for your kindness. your agents went above & beyond to get my stranded family home.,positive,1
225,look at this beauty 😉 dc 10 united airlines 😉,positive,1
226,ok thx!,positive,1
227,great to hear thankyou so much. greatly appreciate your replies. feel much more settled now.,positive,1
228,counter agents at rdu deserve a medal.,positive,1
229,thank you. literally called for preboarding as i ran up.,positive,1
230,that's brilliant thankyou so much. is it classed as part of carryon?,positive,1
231,thank you for listening to my compliant and doing the right thing. i appreciate you working with me,positive,1
232,great! i'm ready to go home.,positive,1
233,wow you even answered back!  awesome!   that's customer service!!!,positive,1
234,: outsource it all united airlines...your customers  are just loving you for it. outsource. outsource. outsource.,positive,1
235,thank you! you need to follow back tho otherwise i can't dm you. x,positive,1
236,just sent! thanks :),positive,1
237,thank you very much for the help. we're do i pick up my bags aspen airport & are they coming in today on flight911,positive,1
238,would love help getting there today. in  now. will take any airline and connections. thx,positive,1
239,thank you!,positive,1
240,thanks for the update.,positive,1
241,just confirmed a seat! crisis averted! beers won't be missed now,positive,1
242,understood and thanks! i should have tried reaching out sooner.,positive,1
243,the den b44 agent (9:30am) was amazing. the mpagent at check in? she sucks.,positive,1
244,traveling with  who is injured. gate agent in chicago was awesome helping her. ty,positive,1
245,thanks!,positive,1
246,"been solved,  they finally picked up the second time i called,  thanks for the response jh!  7:21 to dulles works!",positive,1
247,has the best customer experience via twitter - huge fan!!!,positive,1
248,love the new 1st class breakfast!,positive,1
249,thanks for looking into this and for getting back to me via dm. glad to hear my bag is finally being delivered to me. thanks again!,positive,1
250,flew from sdf to atl to tampa on delta. left early. arrived early. crew helpful. wifi worked!!,positive,1
251,cool. thank you.,positive,1
252,i'd like to thank and recognize terri p at dulles for going out of her way to get me back on my raleigh flight,positive,1
253,was able to send the dm. all good now.,positive,1
254,have michelle at t1 ord train your other staff on how to treat customers. a refreshing pleasure to deal with.,positive,1
255,ewr agent barbara was fabulous and an example of cust. serv. a pleasure talking to you😊,positive,1
256,thanks for the upgrade today great way to start my week! cc:,positive,1
257,i am impressed with your super-fast reply to,positive,1
258,"hi jp, with the help of an awesome tsa representative, i was able to get it all taken care of. thank you!",positive,1
259,the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.,positive,1
